nba_game_id,series_id,round_number,matchup_number,series_game_number,away_team_tricode,home_team_tricode,cap_team_a,cap_team_b,cap_team_a_control_share,cap_team_b_control_share,cap_home_minus_away_share,absolute_cap_share_gap,cap_categorical_controller,cap_controller_location,cap_determinacy_status,away_seed,home_seed,higher_seed_location,forecast_source_id,forecast_control_team_tricode,official_away_score,official_home_score,final_home_minus_away_margin,absolute_final_margin,winner_location,halftime_home_minus_away_margin,absolute_halftime_margin,halftime_leader,home_led_seconds,away_led_seconds,tied_seconds,lead_duration_difference,absolute_lead_duration_difference,team_led_longer,home_largest_lead,away_largest_lead,largest_lead_team,signed_largest_lead_advantage,absolute_largest_lead_advantage,larger_largest_lead,lead_changes,clutch_game,one_possession_game,overtime,number_of_overtimes,permanent_winner_lead_fraction,pbp_validation_status,source_reconciliation_status,missingness_status
0042500221,OKC-LAL,2,4,1,LAL,OKC,LAL,OKC,0.237838,0.535135,0.297297,0.297297,OKC,HOME,DETERMINATE,4,1,HOME,RF2026-037,OKC,90,108,18,18,HOME,8,8,HOME,2268.4,423.0,188.6,1845.4,1845.4,HOME,21,7,HOME,14,14,21,5,False,False,False,0,0.23666666666666666,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500222,OKC-LAL,2,4,2,LAL,OKC,LAL,OKC,0.285714,0.634921,0.349207,0.349207,OKC,HOME,DETERMINATE,4,1,HOME,RF2026-041,OKC,107,125,18,18,HOME,-1,1,AWAY,2314.1,427.9,138.0,1886.2,1886.2,HOME,20,5,HOME,15,15,20,12,False,False,False,0,0.6111111111111112,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500223,OKC-LAL,2,4,3,OKC,LAL,OKC,LAL,0.605882,0.088235,-0.517647,0.517647,OKC,AWAY,DETERMINATE,1,4,AWAY,RF2026-044,OKC,131,108,-23,23,AWAY,2,2,HOME,319.0,2415.9,145.1,-2096.9,2096.9,AWAY,5,27,AWAY,-22,22,27,11,False,False,False,0,0.5413194444444445,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500224,OKC-LAL,2,4,4,OKC,LAL,OKC,LAL,0.59375,0.239583,-0.354167,0.354167,OKC,AWAY,DETERMINATE,1,4,AWAY,RF2026-048,OKC,115,110,-5,5,AWAY,-4,4,AWAY,783.7,2012.3,84.0,-1228.6,1228.6,AWAY,5,12,AWAY,-7,7,12,13,True,False,False,0,0.988611111111111,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500231,SAS-MIN,2,2,1,MIN,SAS,MIN,SAS,0.471204,0.225131,-0.246073,0.246073,MIN,AWAY,DETERMINATE,6,2,HOME,RF2026-035,SAS,104,102,-2,2,AWAY,0,0,TIED,1205.7,1021.3,653.0,184.4,184.4,HOME,7,9,AWAY,-2,2,9,19,True,True,False,0,0.8461805555555556,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500232,SAS-MIN,2,2,2,MIN,SAS,MIN,SAS,0.225131,0.565445,0.340314,0.340314,SAS,HOME,DETERMINATE,6,2,HOME,RF2026-039,SAS,95,133,38,38,HOME,24,24,HOME,2761.0,17.0,102.0,2744.0,2744.0,HOME,47,1,HOME,46,46,47,4,False,False,False,0,0.15833333333333333,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500233,SAS-MIN,2,2,3,SAS,MIN,SAS,MIN,0.415,0.315,-0.100000,0.100000,indeterminate,INDETERMINATE,INDETERMINATE,2,6,AWAY,RF2026-043,SAS,115,108,-7,7,AWAY,0,0,TIED,261.1,2507.7,111.2,-2246.6,2246.6,AWAY,4,15,AWAY,-11,11,15,6,True,False,False,0,0.5100694444444445,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500234,SAS-MIN,2,2,4,SAS,MIN,SAS,MIN,0.35533,0.375635,0.020305,0.020305,indeterminate,INDETERMINATE,INDETERMINATE,2,6,AWAY,RF2026-046,SAS,109,114,5,5,HOME,4,4,HOME,1271.0,1392.0,217.0,-121.0,121.0,AWAY,9,8,HOME,1,1,9,9,True,False,False,0,0.9368055555555556,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500235,SAS-MIN,2,2,5,MIN,SAS,MIN,SAS,0.322917,0.463542,0.140625,0.140625,SAS,HOME,DETERMINATE,6,2,HOME,RF2026-049,SAS,97,126,29,29,HOME,12,12,HOME,2802.0,9.0,69.0,2793.0,2793.0,HOME,30,2,HOME,28,28,30,2,False,False,False,0,0.6006944444444444,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
0042500236,SAS-MIN,2,2,6,SAS,MIN,SAS,MIN,0.516304,0.309783,-0.206521,0.206521,SAS,AWAY,DETERMINATE,2,6,AWAY,RF2026-052,SAS,139,109,-30,30,AWAY,-13,13,AWAY,0.0,2835.0,45.0,-2835.0,2835.0,AWAY,0,37,AWAY,-37,37,37,0,False,False,False,0,0.015625,PASS,PASS,NO_MISSING_REQUIRED_FIELDS
